Year on List,Title,Author,Rank,Publisher,Weeks on List,On a Celebrity Reading List,Current Context,Max Weeks on List,# of Author Bestsellers
2020,SAY NOTHING,Patrick Radden Keefe,2,Anchor,3,False,Yes,9,14
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,73,False,Yes,269,209
2020,JUST MERCY,Bryan Stevenson,4,Spiegel & Grau,196,False,Yes,309,126
2020,WHITE FRAGILITY,Robin DiAngelo,5,Beacon,84,False,Yes,156,83
2020,BORN A CRIME,Trevor Noah,6,Spiegel & Grau,57,False,Yes,209,165
2020,THE GREAT INFLUENZA,John M. Barry,7,Penguin,1,False,Yes,17,17
2020,CHESAPEAKE REQUIEM,Earl Swift,8,Dey St.,2,False,Yes,4,4
2020,OUTLIERS,Malcolm Gladwell,9,"Back Bay/Little, Brown",317,False,No,367,198
2020,WHY WE SLEEP,Matthew Walker,10,Scribner,47,False,No,53,19
2020,GRIT,Angela Duckworth,11,Scribner,70,False,No,151,90
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,12,"Farrar, Straus & Giroux",241,False,No,386,157
2020,BEING MORTAL,Atul Gawande,13,Picador,118,False,No,130,20
2020,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,14,Simon & Schuster,3,False,Yes,7,7
2020,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,15,Penguin,18,False,Yes,18,13
2020,THE GREAT INFLUENZA,John M. Barry,1,Penguin,2,False,Yes,17,17
2020,SAPIENS,Yuval Noah Harari,2,Harper Perennial,97,False,Yes,208,128
2020,SAY NOTHING,Patrick Radden Keefe,3,Anchor,4,False,Yes,9,14
2020,JUST MERCY,Bryan Stevenson,4,Spiegel & Grau,197,False,Yes,309,126
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,5,Penguin,74,False,Yes,269,209
2020,BORN A CRIME,Trevor Noah,6,Spiegel & Grau,58,False,Yes,209,165
2020,CHESAPEAKE REQUIEM,Earl Swift,7,Dey St.,3,False,Yes,4,4
2020,WHITE FRAGILITY,Robin DiAngelo,8,Beacon,85,False,Yes,156,83
2020,OUTLIERS,Malcolm Gladwell,9,"Back Bay/Little, Brown",318,False,No,367,198
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,10,"Farrar, Straus & Giroux",242,False,No,386,157
2020,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,11,Simon & Schuster,4,False,Yes,7,7
2020,THE LIBRARY BOOK,Susan Orlean,12,Simon & Schuster,15,True,No,18,7
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,13,Milkweed Editions,4,False,Yes,192,192
2020,BAD BLOOD,John Carreyrou,14,Vintage,5,False,Yes,6,6
2020,CALYPSO,David Sedaris,15,Back Bay,31,False,No,31,38
2020,THE GREAT INFLUENZA,John M. Barry,1,Penguin,3,False,Yes,17,17
2020,SAPIENS,Yuval Noah Harari,2,Harper Perennial,98,False,Yes,208,128
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,75,False,Yes,269,209
2020,JUST MERCY,Bryan Stevenson,4,Spiegel & Grau,198,False,Yes,309,126
2020,SAY NOTHING,Patrick Radden Keefe,5,Anchor,5,False,Yes,9,14
2020,BORN A CRIME,Trevor Noah,6,Spiegel & Grau,59,False,Yes,209,165
2020,THE FIFTH RISK,Michael Lewis,7,Norton,6,False,Yes,11,12
2020,OUTLIERS,Malcolm Gladwell,8,"Back Bay/Little, Brown",319,False,No,367,198
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,9,"Farrar, Straus & Giroux",243,False,No,386,157
2020,CHESAPEAKE REQUIEM,Earl Swift,10,Dey St.,4,False,Yes,4,4
2020,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,11,Simon & Schuster,5,False,Yes,7,7
2020,THE LIBRARY BOOK,Susan Orlean,12,Simon & Schuster,16,True,No,18,7
2020,MAID,Stephanie Land,13,Hachette,1,False,No,9,9
2020,BAD BLOOD,John Carreyrou,14,Vintage,6,False,Yes,6,6
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,15,Milkweed Editions,5,False,Yes,192,192
2020,"WOW, NO THANK YOU",Samantha Ir,1,Vintage,1,False,No,8,15
2020,SAPIENS,Yuval Noah Harari,2,Harper Perennial,99,False,Yes,208,128
2020,JUST MERCY,Bryan Stevenson,3,Spiegel & Grau,199,False,Yes,309,126
2020,THE GREAT INFLUENZA,John M. Barry,4,Penguin,4,False,Yes,17,17
2020,BORN A CRIME,Trevor Noah,5,Spiegel & Grau,60,False,Yes,209,165
2020,SAY NOTHING,Patrick Radden Keefe,6,Anchor,6,False,Yes,9,14
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,7,Penguin,76,False,Yes,269,209
2020,THE FIFTH RISK,Michael Lewis,8,Norton,7,False,Yes,11,12
2020,A WOMAN OF NO IMPORTANCE,Sonia Purnell,9,Penguin,1,False,Yes,17,17
2020,OUTLIERS,Malcolm Gladwell,10,"Back Bay/Little, Brown",320,False,No,367,198
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux",244,False,No,386,157
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,12,Milkweed Editions,6,False,Yes,192,192
2020,UNORTHODOX,Deborah Feldman,13,Simon & Schuster,2,False,No,10,9
2020,THE LIBRARY BOOK,Susan Orlean,14,Simon & Schuster,17,True,No,18,7
2020,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,15,Simon & Schuster,6,False,Yes,7,7
2020,THE GREAT INFLUENZA,John M. Barry,1,Penguin,5,False,Yes,17,17
2020,SAPIENS,Yuval Noah Harari,2,Harper Perennial,100,False,Yes,208,128
2020,A WOMAN OF NO IMPORTANCE,Sonia Purnell,3,Penguin,2,False,Yes,17,17
2020,THE FIFTH RISK,Michael Lewis,4,Norton,8,False,Yes,11,12
2020,"WOW, NO THANK YOU",Samantha Ir,5,Vintage,2,False,No,8,15
2020,BORN A CRIME,Trevor Noah,6,Spiegel & Grau,61,False,Yes,209,165
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,7,Penguin,77,False,Yes,269,209
2020,UNORTHODOX,Deborah Feldman,8,Simon & Schuster,3,False,No,10,9
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,9,"Farrar, Straus & Giroux",245,False,No,386,157
2020,JUST MERCY,Bryan Stevenson,10,Spiegel & Grau,200,False,Yes,309,126
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,11,Milkweed Editions,7,False,Yes,192,192
2020,GRIT,Angela Duckworth,12,Scribner,71,False,No,151,90
2020,SAY NOTHING,Patrick Radden Keefe,13,Anchor,7,False,Yes,9,14
2020,THE LIBRARY BOOK,Susan Orlean,14,Simon & Schuster,18,True,No,18,7
2020,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,15,Simon & Schuster,7,False,Yes,7,7
2020,THE GREAT INFLUENZA,John M. Barry,1,Penguin,6,False,Yes,17,17
2020,BORN A CRIME,Trevor Noah,2,Spiegel & Grau,62,False,Yes,209,165
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,78,False,Yes,269,209
2020,A WOMAN OF NO IMPORTANCE,Sonia Purnell,4,Penguin,3,False,Yes,17,17
2020,"WOW, NO THANK YOU",Samantha Ir,5,Vintage,3,False,No,8,15
2020,JUST MERCY,Bryan Stevenson,6,Spiegel & Grau,201,False,Yes,309,126
2020,SAPIENS,Yuval Noah Harari,7,Harper Perennial,101,False,Yes,208,128
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,8,"Farrar, Straus & Giroux",246,False,No,386,157
2020,THE FIFTH RISK,Michael Lewis,9,Norton,9,False,Yes,11,12
2020,OUTLIERS,Malcolm Gladwell,10,"Back Bay/Little, Brown",321,False,No,367,198
2020,UNORTHODOX,Deborah Feldman,11,Simon & Schuster,4,False,No,10,9
2020,GRIT,Angela Duckworth,12,Scribner,72,False,No,151,90
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,13,Milkweed Editions,8,False,Yes,192,192
2020,SAY NOTHING,Patrick Radden Keefe,14,Anchor,8,False,Yes,9,14
2020,LEADERSHIP,Doris Kearns Goodwin,15,Simon & Schuster,1,False,Yes,1,1
2020,THE GREAT INFLUENZA,John M. Barry,1,Penguin,7,False,Yes,17,17
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin,79,False,Yes,269,209
2020,BORN A CRIME,Trevor Noah,3,Spiegel & Grau,63,False,Yes,209,165
2020,SAPIENS,Yuval Noah Harari,4,Harper Perennial,102,False,Yes,208,128
2020,A WOMAN OF NO IMPORTANCE,Sonia Purnell,5,Penguin,4,False,Yes,17,17
2020,JUST MERCY,Bryan Stevenson,6,Spiegel & Grau,202,False,Yes,309,126
2020,"WOW, NO THANK YOU",Samantha Ir,7,Vintage,4,False,No,8,15
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,8,"Farrar, Straus & Giroux",247,False,No,386,157
2020,WHITE FRAGILITY,Robin DiAngelo,9,Beacon,86,False,Yes,156,83
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,10,Milkweed Editions,9,False,Yes,192,192
2020,OUTLIERS,Malcolm Gladwell,11,"Back Bay/Little, Brown",322,False,No,367,198
2020,GRIT,Angela Duckworth,12,Scribner,73,False,No,151,90
2020,THE FIFTH RISK,Michael Lewis,13,Norton,10,False,Yes,11,12
2020,THE SPY AND THE TRAITOR,Ben Macintyre,14,Broadway,6,False,No,14,18
2020,UNORTHODOX,Deborah Feldman,15,Simon & Schuster,5,False,No,10,9
2020,THE GREAT INFLUENZA,John M. Barry,1,Penguin,8,False,Yes,17,17
2020,A WOMAN OF NO IMPORTANCE,Sonia Purnell,2,Penguin,5,False,Yes,17,17
2020,SAPIENS,Yuval Noah Harari,3,Harper Perennial,103,False,Yes,208,128
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,4,Penguin,80,False,Yes,269,209
2020,BORN A CRIME,Trevor Noah,5,Spiegel & Grau,64,False,Yes,209,165
2020,"WOW, NO THANK YOU",Samantha Ir,6,Vintage,5,False,No,8,15
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,7,Milkweed Editions,10,False,Yes,192,192
2020,SAY NOTHING,Patrick Radden Keefe,8,Anchor,9,False,Yes,9,14
2020,JUST MERCY,Bryan Stevenson,9,Spiegel & Grau,203,False,Yes,309,126
2020,UNORTHODOX,Deborah Feldman,10,Simon & Schuster,6,False,No,10,9
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux",248,False,No,386,157
2020,WHY WE SLEEP,Matthew Walker,12,Scribner,48,False,No,53,19
2020,OUTLIERS,Malcolm Gladwell,13,"Back Bay/Little, Brown",323,False,No,367,198
