Title,Author,Publisher,Year on List,Rank on List,On a Celebrity Reading List,Current Context
The Fifth Risk,Michael Lewis,Norton,2020,9,FALSE,Yes
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,10,FALSE,No
Unorthodox,Deborah Feldman,Simon & Schuster,2020,11,FALSE,No
Grit,Angela Duckworth,Scribner,2020,12,FALSE,No
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,13,FALSE,Yes
Say Nothing,Patrick Radden Keefe,Anchor,2020,14,FALSE,Yes
Leadership,Doris Kearns Goodwin,Simon & Schuster,2020,15,FALSE,Yes
The Great Influenza,John M. Barry,Penguin,2020,1,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,2,FALSE,Yes
Born A Crime,Trevor Noah,Spiegel & Grau,2020,3,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,4,FALSE,Yes
A Woman of No Importance,Sonia Purnell,Penguin,2020,5,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,6,FALSE,Yes
"Wow,No Thank You",Samantha Irby,Vintage,2020,7,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,8,FALSE,No
White Fragility,Robin DiAngelo,Beacon,2020,9,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,10,FALSE,Yes
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,11,FALSE,No
Grit,Angela Duckworth,Scribner,2020,12,FALSE,No
The Fifth Risk,Michael Lewis,Norton,2020,13,FALSE,Yes
The Spy and the Traitor,Ben Macintyre,Broadway,2020,14,FALSE,No
Unorthodox,Deborah Feldman,Simon & Schuster,2020,15,FALSE,No
The Great Influenza,John M. Barry,Penguin,2020,1,FALSE,Yes
A Woman of No Importance,Sonia Purnell,Penguin,2020,2,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,3,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,4,FALSE,Yes
Born A Crime,Trevor Noah,Spiegel & Grau,2020,5,FALSE,Yes
"Wow,No Thank You",Samantha Irby,Vintage,2020,6,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,7,FALSE,Yes
Say Nothing,Patrick Radden Keefe,Anchor,2020,8,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,9,FALSE,Yes
Unorthodox,Deborah Feldman,Simon & Schuster,2020,10,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,11,FALSE,No
Why We Sleep,Matthew Walker,Scribner,2020,12,FALSE,No
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,13,FALSE,No
Killers of the Flower Moon,David Grann,Vintage,2020,14,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2020,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,1,FALSE,Yes
The Great Influenza,John M. Barry,Penguin,2020,2,FALSE,Yes
A Woman of No Importance,Sonia Purnell,Penguin,2020,3,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,4,FALSE,Yes
"Wow,No Thank You",Samantha Irby,Vintage,2020,5,FALSE,Yes
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6,FALSE,Yes
Shoe Dog,Phil Knight,Scribner,2020,7,FALSE,No
Sapiens,Yuval Noah Harari,Harper Perennial,2020,8,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2020,9,FALSE,Yes
The Pioneers,David McCullough,Simon & Schuster,2020,10,FALSE,Yes
Unorthodox,Deborah Feldman,Simon & Schuster,2020,11,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,12,FALSE,No
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,13,FALSE,No
Grit,Angela Duckworth,Scribner,2020,14,FALSE,No
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,1,FALSE,Yes
The Great Influenza,John M. Barry,Penguin,2020,2,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2020,3,FALSE,Yes
A Woman of No Importance,Sonia Purnell,Penguin,2020,4,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,5,FALSE,Yes
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,7,FALSE,Yes
The Pioneers,David McCullough,Simon & Schuster,2020,8,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,9,FALSE,Yes
Unorthodox,Deborah Feldman,Simon & Schuster,2020,10,FALSE,No
Grit,Angela Duckworth,Scribner,2020,11,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,12,FALSE,No
The Fifth Risk,Michael Lewis,Norton,2020,13,FALSE,Yes
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,14,FALSE,No
"Wow,No Thank You",Samantha Irby,Vintage,2020,15,FALSE,Yes
The Great Influenza,John M. Barry,Penguin,2020,1,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,2,FALSE,Yes
A Woman of No Importance,Sonia Purnell,Penguin,2020,3,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2020,4,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,5,FALSE,Yes
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,7,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,8,FALSE,Yes
Unorthodox,Deborah Feldman,Simon & Schuster,2020,9,FALSE,No
The Pioneers,David McCullough,Simon & Schuster,2020,10,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,11,FALSE,No
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,12,FALSE,No
Grit,Angela Duckworth,Scribner,2020,13,FALSE,No
Being Mortal,Atul Gawande,Picador,2020,14,FALSE,No
21 Lessons for the 21st Century,Yuval Noah Harari,Spiegel & Grau,2020,15,FALSE,No
White Fragility,Robin DiAngelo,Beacon,2020,1,FALSE,Yes
The Great Influenza,John M. Barry,Penguin,2020,2,FALSE,Yes
The New Jim Crow,Michelle Alexander,New Press,2020,3,FALSE,Yes
