Date,Title,Author,Rank,Publisher
2020-03-28,MAID,Stephanie Land,13,Hachette
2020-03-28,BAD BLOOD,John Carreyrou,14,Vintage
2020-03-28,BRAIDING SWEETGRASS,Robin Wall Kimmerer,15,Milkweed Editions
2020-04-04,"WOW, NO THANK YOU",Samantha Ir,1,Vintage
2020-04-04,SAPIENS,Yuval Noah Harari,2,Harper Perennial
2020-04-04,JUST MERCY,Bryan Stevenson,3,Spiegel & Grau
2020-04-04,THE GREAT INFLUENZA,John M. Barry,4,Penguin
2020-04-04,BORN A CRIME,Trevor Noah,5,Spiegel & Grau
2020-04-04,SAY NOTHING,Patrick Radden Keefe,6,Anchor
2020-04-04,THE BODY KEEPS THE SCORE,Bessel van der Kolk,7,Penguin
2020-04-04,THE FIFTH RISK,Michael Lewis,8,Norton
2020-04-04,A WOMAN OF NO IMPORTANCE,Sonia Purnell,9,Penguin
2020-04-04,OUTLIERS,Malcolm Gladwell,10,"Back Bay/Little, Brown"
2020-04-04,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux"
2020-04-04,BRAIDING SWEETGRASS,Robin Wall Kimmerer,12,Milkweed Editions
2020-04-04,UNORTHODOX,Deborah Feldman,13,Simon & Schuster
2020-04-04,THE LIBRARY BOOK,Susan Orlean,14,Simon & Schuster
2020-04-04,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,15,Simon & Schuster
2020-04-11,THE GREAT INFLUENZA,John M. Barry,1,Penguin
2020-04-11,SAPIENS,Yuval Noah Harari,2,Harper Perennial
2020-04-11,A WOMAN OF NO IMPORTANCE,Sonia Purnell,3,Penguin
2020-04-11,THE FIFTH RISK,Michael Lewis,4,Norton
2020-04-11,"WOW, NO THANK YOU",Samantha Ir,5,Vintage
2020-04-11,BORN A CRIME,Trevor Noah,6,Spiegel & Grau
2020-04-11,THE BODY KEEPS THE SCORE,Bessel van der Kolk,7,Penguin
2020-04-11,UNORTHODOX,Deborah Feldman,8,Simon & Schuster
2020-04-11,"THINKING, FAST AND SLOW",Daniel Kahneman,9,"Farrar, Straus & Giroux"
2020-04-11,JUST MERCY,Bryan Stevenson,10,Spiegel & Grau
2020-04-11,BRAIDING SWEETGRASS,Robin Wall Kimmerer,11,Milkweed Editions
2020-04-11,GRIT,Angela Duckworth,12,Scribner
2020-04-11,SAY NOTHING,Patrick Radden Keefe,13,Anchor
2020-04-11,THE LIBRARY BOOK,Susan Orlean,14,Simon & Schuster
2020-04-11,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,15,Simon & Schuster
2020-04-18,THE GREAT INFLUENZA,John M. Barry,1,Penguin
2020-04-18,BORN A CRIME,Trevor Noah,2,Spiegel & Grau
2020-04-18,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin
2020-04-18,A WOMAN OF NO IMPORTANCE,Sonia Purnell,4,Penguin
2020-04-18,"WOW, NO THANK YOU",Samantha Ir,5,Vintage
2020-04-18,JUST MERCY,Bryan Stevenson,6,Spiegel & Grau
2020-04-18,SAPIENS,Yuval Noah Harari,7,Harper Perennial
2020-04-18,"THINKING, FAST AND SLOW",Daniel Kahneman,8,"Farrar, Straus & Giroux"
2020-04-18,THE FIFTH RISK,Michael Lewis,9,Norton
2020-04-18,OUTLIERS,Malcolm Gladwell,10,"Back Bay/Little, Brown"
2020-04-18,UNORTHODOX,Deborah Feldman,11,Simon & Schuster
2020-04-18,GRIT,Angela Duckworth,12,Scribner
2020-04-18,BRAIDING SWEETGRASS,Robin Wall Kimmerer,13,Milkweed Editions
2020-04-18,SAY NOTHING,Patrick Radden Keefe,14,Anchor
2020-04-18,LEADERSHIP,Doris Kearns Goodwin,15,Simon & Schuster
2020-04-25,THE GREAT INFLUENZA,John M. Barry,1,Penguin
2020-04-25,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin
2020-04-25,BORN A CRIME,Trevor Noah,3,Spiegel & Grau
2020-04-25,SAPIENS,Yuval Noah Harari,4,Harper Perennial
2020-04-25,A WOMAN OF NO IMPORTANCE,Sonia Purnell,5,Penguin
2020-04-25,JUST MERCY,Bryan Stevenson,6,Spiegel & Grau
2020-04-25,"WOW, NO THANK YOU",Samantha Ir,7,Vintage
2020-04-25,"THINKING, FAST AND SLOW",Daniel Kahneman,8,"Farrar, Straus & Giroux"
2020-04-25,WHITE FRAGILITY,Robin DiAngelo,9,Beacon
2020-04-25,BRAIDING SWEETGRASS,Robin Wall Kimmerer,10,Milkweed Editions
2020-04-25,OUTLIERS,Malcolm Gladwell,11,"Back Bay/Little, Brown"
2020-04-25,GRIT,Angela Duckworth,12,Scribner
2020-04-25,THE FIFTH RISK,Michael Lewis,13,Norton
2020-04-25,THE SPY AND THE TRAITOR,Ben Macintyre,14,Broadway
2020-04-25,UNORTHODOX,Deborah Feldman,15,Simon & Schuster
2020-05-02,THE GREAT INFLUENZA,John M. Barry,1,Penguin
2020-05-02,A WOMAN OF NO IMPORTANCE,Sonia Purnell,2,Penguin
2020-05-02,SAPIENS,Yuval Noah Harari,3,Harper Perennial
2020-05-02,THE BODY KEEPS THE SCORE,Bessel van der Kolk,4,Penguin
2020-05-02,BORN A CRIME,Trevor Noah,5,Spiegel & Grau
2020-05-02,"WOW, NO THANK YOU",Samantha Ir,6,Vintage
2020-05-02,BRAIDING SWEETGRASS,Robin Wall Kimmerer,7,Milkweed Editions
2020-05-02,SAY NOTHING,Patrick Radden Keefe,8,Anchor
2020-05-02,JUST MERCY,Bryan Stevenson,9,Spiegel & Grau
2020-05-02,UNORTHODOX,Deborah Feldman,10,Simon & Schuster
2020-05-02,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux"
2020-05-02,WHY WE SLEEP,Matthew Walker,12,Scribner
2020-05-02,OUTLIERS,Malcolm Gladwell,13,"Back Bay/Little, Brown"
2020-05-02,KILLERS OF THE FLOWER MOON,David Grann,14,Vintage
2020-05-02,WHITE FRAGILITY,Robin DiAngelo,15,Beacon
2020-05-09,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2020-05-09,THE GREAT INFLUENZA,John M. Barry,2,Penguin
2020-05-09,A WOMAN OF NO IMPORTANCE,Sonia Purnell,3,Penguin
2020-05-09,JUST MERCY,Bryan Stevenson,4,Spiegel & Grau
2020-05-09,"WOW, NO THANK YOU",Samantha Ir,5,Vintage
2020-05-09,BORN A CRIME,Trevor Noah,6,Spiegel & Grau
2020-05-09,SHOE DOG,Phil Knight,7,Scribner
2020-05-09,SAPIENS,Yuval Noah Harari,8,Harper Perennial
2020-05-09,WHITE FRAGILITY,Robin DiAngelo,9,Beacon
2020-05-09,THE PIONEERS,David McCullough,10,Simon & Schuster
2020-05-09,UNORTHODOX,Deborah Feldman,11,Simon & Schuster
2020-05-09,"THINKING, FAST AND SLOW",Daniel Kahneman,12,"Farrar, Straus & Giroux"
2020-05-09,OUTLIERS,Malcolm Gladwell,13,"Back Bay/Little, Brown"
2020-05-09,GRIT,Angela Duckworth,14,Scribner
2020-05-09,BRAIDING SWEETGRASS,Robin Wall Kimmerer,15,Milkweed Editions
2020-05-16,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2020-05-16,THE GREAT INFLUENZA,John M. Barry,2,Penguin
2020-05-16,WHITE FRAGILITY,Robin DiAngelo,3,Beacon
2020-05-16,A WOMAN OF NO IMPORTANCE,Sonia Purnell,4,Penguin
2020-05-16,SAPIENS,Yuval Noah Harari,5,Harper Perennial
2020-05-16,BORN A CRIME,Trevor Noah,6,Spiegel & Grau
2020-05-16,JUST MERCY,Bryan Stevenson,7,Spiegel & Grau
2020-05-16,THE PIONEERS,David McCullough,8,Simon & Schuster
2020-05-16,BRAIDING SWEETGRASS,Robin Wall Kimmerer,9,Milkweed Editions
2020-05-16,UNORTHODOX,Deborah Feldman,10,Simon & Schuster
2020-05-16,GRIT,Angela Duckworth,11,Scribner
2020-05-16,"THINKING, FAST AND SLOW",Daniel Kahneman,12,"Farrar, Straus & Giroux"
2020-05-16,THE FIFTH RISK,Michael Lewis,13,Norton
2020-05-16,OUTLIERS,Malcolm Gladwell,14,"Back Bay/Little, Brown"
2020-05-16,"WOW, NO THANK YOU",Samantha Ir,15,Vintage
2020-05-23,THE GREAT INFLUENZA,John M. Barry,1,Penguin
2020-05-23,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin
2020-05-23,A WOMAN OF NO IMPORTANCE,Sonia Purnell,3,Penguin
2020-05-23,WHITE FRAGILITY,Robin DiAngelo,4,Beacon
2020-05-23,SAPIENS,Yuval Noah Harari,5,Harper Perennial
2020-05-23,BORN A CRIME,Trevor Noah,6,Spiegel & Grau
2020-05-23,JUST MERCY,Bryan Stevenson,7,Spiegel & Grau
2020-05-23,BRAIDING SWEETGRASS,Robin Wall Kimmerer,8,Milkweed Editions
2020-05-23,UNORTHODOX,Deborah Feldman,9,Simon & Schuster
2020-05-23,THE PIONEERS,David McCullough,10,Simon & Schuster
2020-05-23,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux"
2020-05-23,OUTLIERS,Malcolm Gladwell,12,"Back Bay/Little, Brown"
2020-05-23,GRIT,Angela Duckworth,13,Scribner
2020-05-23,BEING MORTAL,Atul Gawande,14,Picador
2020-05-23,21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,15,Spiegel & Grau
2020-05-30,WHITE FRAGILITY,Robin DiAngelo,1,Beacon
