,Date,Title,Author,Rank,Publisher,Weeks on List,On a Celebrity Reading List,Rating,Awards Count,Publication Season
184,2020-03-14,WHITE FRAGILITY,Robin DiAngelo,5,Beacon,84,False,4.17,0.0,Summer
185,2020-03-14,BORN A CRIME,Trevor Noah,6,Spiegel & Grau,57,False,4.49,6.0,Fall
186,2020-03-14,THE GREAT INFLUENZA,John M. Barry,7,Penguin,1,False,3.98,0.0,Fall
187,2020-03-14,CHESAPEAKE REQUIEM,Earl Swift,8,Dey St.,2,False,4.1,0.0,Summer
188,2020-03-14,OUTLIERS,Malcolm Gladwell,9,"Back Bay/Little, Brown",317,False,4.19,0.0,Fall
189,2020-03-14,WHY WE SLEEP,Matthew Walker,10,Scribner,47,False,4.38,1.0,Fall
190,2020-03-14,GRIT,Angela Duckworth,11,Scribner,70,False,4.08,1.0,Fall
191,2020-03-14,"THINKING, FAST AND SLOW",Daniel Kahneman,12,"Farrar, Straus & Giroux",241,False,4.18,4.0,Fall
192,2020-03-14,BEING MORTAL,Atul Gawande,13,Picador,118,False,4.49,3.0,Fall
193,2020-03-14,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,14,Simon & Schuster,3,False,4.37,5.0,Spring
194,2020-03-14,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,15,Penguin,18,False,3.86,1.0,Fall
195,2020-03-21,THE GREAT INFLUENZA,John M. Barry,1,Penguin,2,False,3.98,0.0,Fall
196,2020-03-21,SAPIENS,Yuval Noah Harari,2,Harper Perennial,97,False,4.35,2.0,Spring
197,2020-03-21,SAY NOTHING,Patrick Radden Keefe,3,Anchor,4,False,4.47,7.0,Spring
198,2020-03-21,JUST MERCY,Bryan Stevenson,4,Spiegel & Grau,197,False,4.63,8.0,Summer
199,2020-03-21,THE BODY KEEPS THE SCORE,Bessel van der Kolk,5,Penguin,74,False,4.38,0.0,Fall
200,2020-03-21,BORN A CRIME,Trevor Noah,6,Spiegel & Grau,58,False,4.49,6.0,Fall
201,2020-03-21,CHESAPEAKE REQUIEM,Earl Swift,7,Dey St.,3,False,4.1,0.0,Summer
202,2020-03-21,WHITE FRAGILITY,Robin DiAngelo,8,Beacon,85,False,4.17,0.0,Summer
203,2020-03-21,OUTLIERS,Malcolm Gladwell,9,"Back Bay/Little, Brown",318,False,4.19,0.0,Fall
204,2020-03-21,"THINKING, FAST AND SLOW",Daniel Kahneman,10,"Farrar, Straus & Giroux",242,False,4.18,4.0,Fall
205,2020-03-21,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,11,Simon & Schuster,4,False,4.37,5.0,Spring
206,2020-03-21,THE LIBRARY BOOK,Susan Orlean,12,Simon & Schuster,15,True,3.89,4.0,Fall
207,2020-03-21,BRAIDING SWEETGRASS,Robin Wall Kimmerer,13,Milkweed Editions,4,False,4.53,2.0,Fall
208,2020-03-21,BAD BLOOD,John Carreyrou,14,Vintage,5,False,4.41,3.0,Spring
209,2020-03-21,CALYPSO,David Sedaris,15,Back Bay,31,False,4.11,2.0,Summer
210,2020-03-28,THE GREAT INFLUENZA,John M. Barry,1,Penguin,3,False,3.98,0.0,Fall
211,2020-03-28,SAPIENS,Yuval Noah Harari,2,Harper Perennial,98,False,4.35,2.0,Spring
212,2020-03-28,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,75,False,4.38,0.0,Fall
213,2020-03-28,JUST MERCY,Bryan Stevenson,4,Spiegel & Grau,198,False,4.63,8.0,Summer
214,2020-03-28,SAY NOTHING,Patrick Radden Keefe,5,Anchor,5,False,4.47,7.0,Spring
215,2020-03-28,BORN A CRIME,Trevor Noah,6,Spiegel & Grau,59,False,4.49,6.0,Fall
216,2020-03-28,THE FIFTH RISK,Michael Lewis,7,Norton,6,False,4.09,1.0,Fall
217,2020-03-28,OUTLIERS,Malcolm Gladwell,8,"Back Bay/Little, Brown",319,False,4.19,0.0,Fall
218,2020-03-28,"THINKING, FAST AND SLOW",Daniel Kahneman,9,"Farrar, Straus & Giroux",243,False,4.18,4.0,Fall
219,2020-03-28,CHESAPEAKE REQUIEM,Earl Swift,10,Dey St.,4,False,4.1,0.0,Summer
220,2020-03-28,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,11,Simon & Schuster,5,False,4.37,5.0,Spring
221,2020-03-28,THE LIBRARY BOOK,Susan Orlean,12,Simon & Schuster,16,True,3.89,4.0,Fall
222,2020-03-28,MAID,Stephanie Land,13,Hachette,1,False,3.85,1.0,Spring
223,2020-03-28,BAD BLOOD,John Carreyrou,14,Vintage,6,False,4.41,3.0,Spring
224,2020-03-28,BRAIDING SWEETGRASS,Robin Wall Kimmerer,15,Milkweed Editions,5,False,4.53,2.0,Fall
225,2020-04-04,"WOW, NO THANK YOU",Samantha Ir,1,Vintage,1,False,3.82,3.0,Spring
226,2020-04-04,SAPIENS,Yuval Noah Harari,2,Harper Perennial,99,False,4.35,2.0,Spring
227,2020-04-04,JUST MERCY,Bryan Stevenson,3,Spiegel & Grau,199,False,4.63,8.0,Summer
228,2020-04-04,THE GREAT INFLUENZA,John M. Barry,4,Penguin,4,False,3.98,0.0,Fall
229,2020-04-04,BORN A CRIME,Trevor Noah,5,Spiegel & Grau,60,False,4.49,6.0,Fall
230,2020-04-04,SAY NOTHING,Patrick Radden Keefe,6,Anchor,6,False,4.47,7.0,Spring
231,2020-04-04,THE BODY KEEPS THE SCORE,Bessel van der Kolk,7,Penguin,76,False,4.38,0.0,Fall
232,2020-04-04,THE FIFTH RISK,Michael Lewis,8,Norton,7,False,4.09,1.0,Fall
233,2020-04-04,A WOMAN OF NO IMPORTANCE,Sonia Purnell,9,Penguin,1,False,4.15,4.0,Spring
234,2020-04-04,OUTLIERS,Malcolm Gladwell,10,"Back Bay/Little, Brown",320,False,4.19,0.0,Fall
235,2020-04-04,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux",244,False,4.18,4.0,Fall
236,2020-04-04,BRAIDING SWEETGRASS,Robin Wall Kimmerer,12,Milkweed Editions,6,False,4.53,2.0,Fall
237,2020-04-04,UNORTHODOX,Deborah Feldman,13,Simon & Schuster,2,False,3.99,1.0,Spring
238,2020-04-04,THE LIBRARY BOOK,Susan Orlean,14,Simon & Schuster,17,True,3.89,4.0,Fall
239,2020-04-04,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,15,Simon & Schuster,6,False,4.37,5.0,Spring
240,2020-04-11,THE GREAT INFLUENZA,John M. Barry,1,Penguin,5,False,3.98,0.0,Fall
